CO7010,C010,L003,R109,Thursday,10:00-11:00
CO7011,C011,L011,R103,Monday,14:00-15:00
CO7003,C003,L005,R105,Tuesday,11:00-12:00
CO7014,C014,L007,R109,Friday,14:00-15:00
CO7009,C009,L012,R101,Thursday,09:00-10:00
CO7007,C007,L001,R101,Friday,09:00-10:00
CO7014,C014,L009,R102,Monday,10:00-11:00
CO7009,C009,L009,R106,Wednesday,14:00-15:00
CO7011,C011,L004,R106,Friday,15:00-16:00
CO7008,C008,L003,R106,Wednesday,11:00-12:00
CO7006,C006,L012,R102,Friday,13:00-14:00
CO7015,C015,L007,R102,Friday,15:00-16:00
CO7011,C011,L001,R110,Thursday,11:00-12:00
CO7015,C015,L012,R104,Wednesday,10:00-11:00
CO7004,C004,L011,R101,Friday,15:00-16:00
CO7011,C011,L003,R108,Wednesday,09:00-10:00
CO7002,C002,L010,R107,Monday,15:00-16:00
CO7015,C015,L010,R109,Monday,11:00-12:00
CO7015,C015,L005,R105,Wednesday,10:00-11:00
CO7003,C003,L002,R103,Thursday,14:00-15:00
CO7008,C008,L004,R106,Monday,13:00-14:00
CO7001,C001,L005,R106,Tuesday,14:00-15:00
CO7005,C005,L009,R107,Monday,13:00-14:00
CO7011,C011,L007,R106,Friday,14:00-15:00
CO7002,C002,L004,R109,Wednesday,15:00-16:00
CO7004,C004,L002,R105,Wednesday,10:00-11:00
CO7002,C002,L008,R101,Wednesday,13:00-14:00
CO7007,C007,L009,R109,Monday,11:00-12:00
CO7012,C012,L002,R102,Tuesday,10:00-11:00
CO7009,C009,L004,R110,Tuesday,10:00-11:00
CO7008,C008,L007,R103,Thursday,14:00-15:00
CO7004,C004,L005,R110,Friday,10:00-11:00
CO7007,C007,L006,R108,Thursday,11:00-12:00
CO7002,C002,L001,R108,Wednesday,11:00-12:00
CO7003,C003,L001,R106,Monday,14:00-15:00
CO7007,C007,L009,R107,Thursday,11:00-12:00
CO7001,C001,L006,R107,Tuesday,14:00-15:00
CO7006,C006,L008,R102,Tuesday,14:00-15:00
CO7001,C001,L004,R105,Tuesday,11:00-12:00
CO7014,C014,L004,R106,Wednesday,13:00-14:00
